time,m1,m2
0,1.0,0.0
1,0.8867081,-0.03756445
2,0.8164316,-0.06593174
3,0.7670708,-0.09011684
4,0.7281238,-0.112655446
5,0.69384676,-0.13521636
6,0.6606624,-0.15901522
7,0.6263736,-0.1848452
8,0.58964205,-0.21293594
9,0.5501119,-0.24302644
10,0.5078561,-0.2743532
11,0.4634863,-0.30592752
12,0.41764367,-0.33663216
13,0.3711157,-0.36545765
14,0.32451499,-0.39152664
15,0.27826333,-0.41407967
16,0.23269181,-0.4326216
17,0.18805274,-0.4468621
18,0.14441092,-0.4565484
19,0.10186239,-0.4617006
20,0.060472306,-0.4623285
21,0.02032916,-0.45866996
22,-0.018459858,-0.45096892
23,-0.055751618,-0.43945235
24,-0.09138175,-0.42450982
25,-0.12516691,-0.40653273
26,-0.1568932,-0.38574243
27,-0.18640107,-0.36261693
28,-0.21348022,-0.33742905
29,-0.23794916,-0.31049263
30,-0.2596693,-0.28213546
31,-0.2785465,-0.2526419
32,-0.2944517,-0.22230563
33,-0.30746707,-0.19143876
34,-0.31740534,-0.16017412
35,-0.32434112,-0.12886247
36,-0.32840782,-0.09773152
37,-0.32959962,-0.06697824
38,-0.3280159,-0.036848065
39,-0.32381326,-0.0075402237
40,-0.3170586,0.020740435
41,-0.30804458,0.0478094
42,-0.29680628,0.07348901
43,-0.2835208,0.097617775
44,-0.2685688,0.120097786
45,-0.2519132,0.14074501
46,-0.23381504,0.15947098
47,-0.21459088,0.17625995
48,-0.19428882,0.19093208
49,-0.17322536,0.20357968
50,-0.1515003,0.21403347
51,-0.12937905,0.22236107
52,-0.107058726,0.22856182
53,-0.08471363,0.23271851
54,-0.06249361,0.23481773
55,-0.0406168,0.2348791
56,-0.019225232,0.23313999
57,0.0015221452,0.22946472
58,0.02148341,0.22409928
59,0.040516227,0.21710354
60,0.05851551,0.2086131
61,0.07536506,0.19874035
62,0.090957925,0.1876255
63,0.10523586,0.17541674
64,0.118114546,0.16224404
65,0.12957813,0.14824738
66,0.13959928,0.13362978
67,0.14804706,0.11839747
68,0.15496309,0.10278694
69,0.16038102,0.08691373
70,0.16427113,0.07094507
71,0.16669308,0.05501044
72,0.16777985,0.039250392
73,0.16733547,0.023726827
74,0.16556816,0.008600874
75,0.16254494,-0.006026261
76,0.15836671,-0.020061933
77,0.15298425,-0.033409167
78,0.1465822,-0.04597539
79,0.13923018,-0.057703063
80,0.13101596,-0.068513624
81,0.12202378,-0.07836195
82,0.11245414,-0.087237686
83,0.102287255,-0.095056534
84,0.0916652,-0.10178767
85,0.08070534,-0.1074622
86,0.06948053,-0.11201839
87,0.05813987,-0.11553503
88,0.046758614,-0.11797858
89,0.035404634,-0.119366795
90,0.024193611,-0.119725086
91,0.013202675,-0.11909416
92,0.0025231587,-0.11751123
93,-0.0077769365,-0.11504671
94,-0.017631406,-0.11179331
95,-0.026971854,-0.10768425
96,-0.035744596,-0.1028781
97,-0.043885116,-0.09742806
98,-0.05140037,-0.09139883
99,-0.058163777,-0.08478737
100,-0.06426029,-0.07781451
101,-0.06955285,-0.070448264
102,-0.07410512,-0.06275307
103,-0.07788387,-0.054875087
104,-0.08089298,-0.04681673
105,-0.083144285,-0.038722392
106,-0.08462255,-0.030587148
107,-0.08534191,-0.022515485
108,-0.085373595,-0.014562523
109,-0.08467815,-0.006788139
110,-0.08333914,0.00074690586
111,-0.08137672,0.007997563
112,-0.078840226,0.014906905
113,-0.07573031,0.021435596
114,-0.07214713,0.027554566
115,-0.068091415,0.033220183
116,-0.0636484,0.038384907
117,-0.05886507,0.043066192
118,-0.053753853,0.047200836
119,-0.04839976,0.050814763
120,-0.042886004,0.053892832
121,-0.037200708,0.056371327
122,-0.031448115,0.058334943
123,-0.025640631,0.059726413
124,-0.019845314,0.060623836
125,-0.014105716,0.06093167
126,-0.008474313,0.060803276
127,-0.0029843324,0.060179666
128,0.002326821,0.059029695
129,0.0074256407,0.057510037
130,0.012260246,0.05553005
131,0.016825309,0.053215418
132,0.021092549,0.050564293
133,0.024993148,0.047531355
134,0.028582495,0.04428417
135,0.03176986,0.04076116
136,0.034613162,0.037078634
137,0.0370768,0.03323329
138,0.03909454,0.029218983
139,0.040761918,0.02516148
140,0.042009365,0.02102108
141,0.042892598,0.01687924
142,0.043381695,0.012756857
143,0.04350047,0.008687358
144,0.043305025,0.0046965024
145,0.042691115,0.00081658876
146,0.04181098,-0.002924025
147,0.0405691,-0.0064952495
148,0.039114576,-0.009893011
149,0.037364215,-0.013077239
150,0.035360325,-0.01602675
151,0.033161413,-0.018749066
152,0.030770252,-0.021210423
153,0.028215837,-0.023400398
154,0.025540989,-0.025339995
155,0.022727974,-0.026965164
156,0.019878795,-0.028347826
157,0.016940098,-0.029422129
158,0.0139938425,-0.030237548
159,0.011045761,-0.030780543
160,0.008106105,-0.031019134
161,0.0052186903,-0.03103168
162,0.0023935365,-0.030760456
163,-0.00034203246,-0.030285588
164,-0.0029738897,-0.02956758
165,-0.005482059,-0.028630719
166,-0.007854565,-0.027502734
167,-0.010069292,-0.026185626
168,-0.012125203,-0.02471066
169,-0.014003996,-0.023100894
170,-0.015695205,-0.021339893
171,-0.017197646,-0.019497106
172,-0.018495396,-0.01753641
173,-0.01961016,-0.015535698
174,-0.02050549,-0.013462164
175,-0.0212183,-0.011370702
176,-0.021734832,-0.009266265
177,-0.02203546,-0.0071583535
178,-0.022163928,-0.005078081
179,-0.022091132,-0.0030264098
180,-0.02185652,-0.0010330172
181,-0.0214566,0.000895762
182,-0.020877982,0.002744782
183,-0.020169098,0.004502623
184,-0.01930711,0.0061579905
185,-0.018337311,0.007702299
186,-0.01724303,0.0091203395
187,-0.016056871,0.010418627
188,-0.014791093,0.011585684
189,-0.013437402,0.012603099
190,-0.012035226,0.013489923
191,-0.010581229,0.014228207
192,-0.00910471,0.014828942
193,-0.0076051927,0.015289589
194,-0.0060963826,0.015596176
195,-0.0046004895,0.015779478
196,-0.0031198307,0.015823647
197,-0.0016703265,0.015729574
198,-0.0002604332,0.015503391
199,0.0010974096,0.015180583
200,0.0023956422,0.014744099
201,0.0036260234,0.014192696
202,0.0047817654,0.0135573605
203,0.0058525894,0.012826321
204,0.0068360176,0.012024137
205,0.0077334954,0.011159553
206,0.008524412,0.010226744
207,0.009227626,0.009254862
208,0.009818245,0.008233742
209,0.010316198,0.0071964525
210,0.010703995,0.006131034
211,0.010991476,0.005055934
212,0.011185501,0.003984128
